S/N,CODE,STATE_ID,State_Map,STATE,GEO_ZONE,AREA_SQKM,POP_2016,LAT,LONG
1,NG001,Abia,Abia,Abia State,South East,"4,858.88","3,644,714.00",5.453302119,7.523189982
2,NG002,Adamawa,Adamawa,Adamawa State,North East,"37,924.99","4,145,684.00",9.323227332,12.40024078
3,NG003,Akwa Ibom,Akwa Ibom,Akwa Ibom State,South South,"6,723.20","5,353,609.00",4.907245026,7.846394928
4,NG004,Anambra,Anambra,Anambra State,South East,"4,807.93","5,425,334.00",6.222775877,6.932186089
5,NG005,Bauchi,Bauchi,Bauchi State,North East,"48,496.40","6,386,388.00",10.79664717,9.990588234
6,NG006,Bayelsa,Bayelsa,Bayelsa State,South South,"9,546.42","2,228,965.00",4.766315328,6.08041884
7,NG007,Benue,Benue,Benue State,North Central,"31,462.23","5,568,946.00",7.341086058,8.751907951
8,NG008,Borno,Borno,Borno State,North East,"75,949.95","5,669,054.00",11.86524255,13.09877091
9,NG009,Cross River,Cross River,Cross River State,South South,"21,417.61","3,780,419.00",5.845901003,8.59875592
10,NG010,Delta,Delta,Sokoto State,South South,"17,113.00","5,502,806.00",5.704898235,5.936929598
11,NG011,Ebonyi,Ebonyi,Ebonyi State,South East,"6,336.48","2,819,675.00",6.262027249,8.016266263
12,NG012,Edo,Edo,Edo State,South South,"19,555.55","4,138,994.00",6.633537265,5.93021466
13,NG013,Ekiti,Ekiti,Ekiti State,South West,"5,773.24","3,174,006.00",7.720080404,5.309515527
14,NG014,Enugu,Enugu,Enugu State,South East,"7,635.72","4,299,281.00",6.536244896,7.440611163
15,NG015,"FCT, Abuja",Federal Capital Territory,Federal Capital Territory,North Central,"7,388.14","2,996,670.00",8.897617232,7.195557236
16,NG016,Gombe,Gombe,Gombe State,North East,"17,438.00","3,160,494.00",10.38358785,11.19199514
17,NG017,Imo,Imo,Imo State,South East,"5,075.46","5,283,288.00",5.573020021,7.062307591
18,NG018,Jigawa,Jigawa,Jigawa State,North West,"23,201.55","5,690,516.00",12.23842042,9.563558283
19,NG019,Kaduna,Kaduna,Kaduna State,North West,"44,146.82","8,007,205.00",10.39236691,7.705978606
20,NG020,Kano,Kano,Kano State,North West,"20,310.40","12,706,778.00",11.74520194,8.529557183
21,NG021,Katsina,Katsina,Katsina State,North West,"23,957.92","7,645,575.00",12.37830071,7.628834204
22,NG022,Kebbi,Kebbi,Kebbi State,North West,"36,788.02","4,311,454.00",11.74395642,4.51668667
23,NG023,Kogi,Kogi,Kogi State,North Central,"28,925.88","4,327,246.00",7.736607886,6.686754337
24,NG024,Kwara,Kwara,Kwara State,North Central,"33,838.42","3,129,582.00",8.965933764,4.385168584
25,NG025,Lagos,Lagos,Lagos State,South West,"3,701.45","12,102,238.00",6.52242433,3.586974902
26,NG026,Nassarawa,Nassarawa,Nasarawa State,North Central,"26,750.46","2,459,321.00",8.510446426,8.19796222
27,NG027,Niger,Niger,Niger State,North Central,"72,143.47","5,394,631.00",9.933226341,5.590434858
28,NG028,Ogun,Ogun,Ogun State,South West,"16,810.67","5,048,351.00",6.995135101,3.473261779
29,NG029,Ondo,Ondo,Ondo State,South West,"15,132.20","4,541,779.00",6.917995343,5.150609212
30,NG030,Osun,Osun,Osun State,South West,"8,644.30","4,596,693.00",7.562918519,4.51776227
31,NG031,Oyo,Oyo,Oyo State,South West,"27,824.83","7,636,122.00",8.158826811,3.612911627
32,NG032,Plateau,Plateau,Plateau State,North Central,"26,489.78","4,088,038.00",9.232416151,9.512049504
33,NG033,Rivers,Rivers,Rivers State,South South,"10,188.80","7,081,412.00",4.845392316,6.918181455
34,NG034,Sokoto,Sokoto,Sokoto State,North West,"32,257.59","4,879,641.00",13.03799337,5.318810473
35,NG035,Taraba,Taraba,Taraba State,North East,"58,561.23","2,984,174.00",8.023131157,10.78647944
36,NG036,Yobe,Yobe,Yobe State,North East,"41,414.37","3,197,296.00",12.37621509,11.39326601
37,NG037,Zamfara,Zamfara,Zamfara State,North West,"33,561.96","4,376,911.00",12.10150481,6.246534746
